index,frase_id,total_annotations,identidade,aparencia,papel_social,habilidades,valores,comportamentos,outros,valid_annotations,majority_vote,agreement_rate,frase,tem_padrao,real_class
47,14358,2,0,0,0,0,0,2,0,2,comportamentos,100.0,"E da libido, e pra um garoto introvertido.",Male,sim
48,14430,1,0,0,0,0,0,1,0,1,comportamentos,50.0,"Eles são legais, além do mais, Não querem nem saber.",Male,sim
49,14630,1,0,0,0,0,0,1,0,1,comportamentos,50.0,Todos eles afim de entregar os irmão.,Male,sim
50,14647,3,1,0,0,0,0,1,1,3,identidade,50.0,De um ônibus pra outro aquilo para ele era o fim.,Male,sim
51,15846,2,0,0,0,0,0,1,1,2,comportamentos,50.0,Que mulher ruim.,Female,sim
52,15936,3,1,0,1,0,1,0,0,3,identidade,50.0,"Homem é homem, mulher é mulher.",Male,sim
53,16025,1,1,0,0,0,0,0,0,1,identidade,50.0,A mina era virgem e ainda era menor.,Female,sim
54,16321,4,2,1,0,1,0,0,0,4,identidade,100.0,"Mas ela é linda, Muito mais do que linda, Very, very beautiful!",Female,sim
55,16332,0,0,0,0,0,0,0,0,0,,0.0,"Por que ela é linda, Muito mais do que linda, Very, very beautiful!",Female,sim
56,16405,0,0,0,0,0,0,0,0,0,,0.0,Aqui nesse mundinho fechado ela é incrível.,Female,sim
57,16421,2,1,1,0,0,0,0,0,2,identidade,50.0,Ela é tão tão vistosa que talvez seja mentira.,Female,sim
58,16705,1,0,1,0,0,0,0,0,1,aparencia,50.0,Jackie uma menina tão bonita que enjoa.,Female,sim
59,16927,2,0,0,0,0,0,2,0,2,comportamentos,100.0,Menina é gostoso demais te amar.,Female,sim
60,17578,2,1,0,1,0,0,0,0,2,identidade,50.0,"Ela era princesa eu era o plebeu, Quem é mais foda que eu?",Female,sim
61,17591,4,1,2,0,0,0,1,0,4,aparencia,100.0,"Em fração de segundos meu castelo caiu, A mais bonita da escola rainha passista, Se transformou numa vaca nazista.",Female,sim
62,17603,3,2,0,0,0,0,1,0,3,identidade,100.0,"Só se liga nessa, Que mina cabulosa olha só que conversa.",Female,sim
63,17646,2,2,0,0,0,0,0,0,2,identidade,100.0,"Ele é safado, Fugiu do.",Male,sim
64,17690,0,0,0,0,0,0,0,0,0,,0.0,"Ela está suada, pronta pra se derreter!",Female,sim
65,17691,2,1,0,0,1,0,0,0,2,identidade,50.0,"Ela é puro êxtase, êxtase.",Female,sim
66,17701,0,0,0,0,0,0,0,0,0,,0.0,"Vontade de dançar até o amanhecer, Ela está suada, pronta pra se derreter!.",Female,sim
67,17709,1,0,1,0,0,0,0,0,1,aparencia,50.0,"Ninguém explica, ela é bonita.",Female,sim
68,17779,5,1,0,0,1,2,1,0,5,valores,100.0,Deus que ele é justo.,Male,sim
69,17793,1,0,0,0,0,0,1,0,1,comportamentos,50.0,Porque a confiança é uma mulher ingrata.,Female,sim
70,17868,3,1,0,0,1,1,0,0,3,identidade,50.0,"Ela tem força, ela tem sensibilidade, ela é guerreira.",Female,sim
71,17869,3,1,1,0,0,1,0,0,3,aparencia,50.0,"Ela é uma deusa, ela é mulher de verdade.",Female,sim
72,18834,2,1,0,0,0,0,1,0,2,identidade,50.0,"Olha lá, ele não é feliz.",Male,sim
73,19223,3,0,2,0,0,0,1,0,3,aparencia,100.0,"Fiquei sem chão [Refrão 2x] Menino bonito, menino bonito, ai ai menino bonito, menino bonito ai.",Male,sim
74,19229,1,0,1,0,0,0,0,0,1,aparencia,50.0,"ô [Refrão 4x] Menino bonito, menino bonito, ai ai menino bonito, menino bonito ai.",Male,sim
75,20137,3,1,1,1,0,0,0,0,3,identidade,50.0,Ela é política aplicada e conversas banais.,Female,sim
76,20138,2,1,0,0,0,0,1,0,2,comportamentos,50.0,Se ela tiver muito afim seja perspicaz.,Female,sim
77,20739,2,1,1,0,0,0,0,0,2,identidade,50.0,E ela é tão linda.,Female,sim
78,21106,3,1,0,0,0,0,1,1,3,identidade,50.0,"Rasga minha roupa, ela é bipolar.",Female,sim
79,21395,1,0,0,0,1,0,0,0,1,habilidades,50.0,Só vou saber se ela é boa depois que eu tacar.,Female,sim
80,21712,2,0,0,0,0,0,2,0,2,comportamentos,100.0,Eles fica puto que nóis tá lucrando muito.,Male,sim
81,22006,2,1,0,1,0,0,0,0,2,identidade,50.0,Que uma mulher foda virou sua ex.,Female,sim
82,22120,2,2,0,0,0,0,0,0,2,identidade,100.0,"E, ó que ela foi covarde.",Female,sim
83,22994,1,1,0,0,0,0,0,0,1,identidade,50.0,Que ele é o cara errado.,Male,sim
84,23266,4,1,2,1,0,0,0,0,4,aparencia,100.0,"Mina linda, mas que obra-prima.",Female,sim
85,23334,1,0,0,0,0,0,0,1,1,outros,50.0,Gomes) É ele mesmo.,Male,sim
86,23564,2,1,0,0,0,0,0,1,2,identidade,50.0,"Hoje eu vou ser seu, duble de marido yeah.",Male,sim
87,23610,5,2,0,1,1,0,1,0,5,identidade,100.0,Hoje eu vou ser seu duble de marido yeah.,Male,sim
88,23666,2,1,0,1,0,0,0,0,2,identidade,50.0,Kadu hoje não tá mais pobre.,Male,sim
89,23846,3,1,0,0,0,0,1,1,3,identidade,50.0,Que elas tão cheia de malicia.,Female,sim
90,24166,2,0,0,0,0,1,1,0,2,comportamentos,50.0,João tá certo.,Male,sim
91,24215,2,1,1,0,0,0,0,0,2,identidade,50.0,"Só porque ele é grande ele pensa que é dois (Quem, quem?) Meu pau.",Male,sim
92,24216,4,1,0,1,0,0,1,1,4,papel_social,50.0,"Só porque ele é grande ele pensa que é dois (Quem, Digu?) Meu pau.",Male,sim
93,24508,2,0,0,0,0,0,1,1,2,outros,50.0,"Quem conta conta muito e manda a inveja pra lá (Hahaha, a mina tá cara—) Sem camisa, copo na mão e.",Female,sim
94,24512,3,1,0,0,0,0,1,1,3,identidade,50.0,"Ela é uma flor, mas ama fumar planta (Hahaha) Transa que transa com a amiga piranha.",Female,sim
95,24518,0,0,0,0,0,0,0,0,0,,0.0,Tudo conforme os plano (Sempre) Minha filha rica e eu sou.,Female,sim
96,24631,2,0,0,0,0,0,2,0,2,comportamentos,100.0,Roma dentro da minha goma elas fica pelada.,Female,sim
97,24899,3,1,0,0,1,0,1,0,3,comportamentos,50.0,"É tipo isca pras piranha, elas fica apaixonada.",Female,sim
98,24978,3,1,0,0,0,0,2,0,3,comportamentos,100.0,Ela fica molhada quando vê um vida louca.,Female,sim
99,25004,1,0,1,0,0,0,0,0,1,aparencia,50.0,Ela é muito gostosa com essa cara de atriz.,Female,sim
100,25045,3,1,1,0,0,0,1,0,3,identidade,50.0,"Ela acha cativante, a vida do funk que nóis leva.",Female,sim
101,25115,2,0,1,0,0,1,0,0,2,valores,50.0,Pra comer essas mina linda que cobra 10k.,Female,sim
102,25159,1,0,0,0,0,0,1,0,1,comportamentos,50.0,"Que eu gosto quando quica, quica, quica (ele mesmo) (DJ João.",Male,sim
103,25242,2,2,0,0,0,0,0,0,2,identidade,100.0,Fafá é cara e o.,Female,sim
104,25354,4,1,0,0,0,0,2,1,4,comportamentos,100.0,"Dindin não é problema, nas puta taca.",Male,sim
105,25474,3,0,2,0,0,0,1,0,3,aparencia,100.0,"Quarenta graus, nós pesado, ela é mídia.",Female,sim
106,25626,1,0,1,0,0,0,0,0,1,aparencia,50.0,"MD, o migo vira vida, a bebida [MC Daniel] Uma mina gostosa incomoda muita gente.",Female,sim
107,26308,3,1,0,1,0,0,1,0,3,papel_social,50.0,"Ele era pagodeiro, maloqueiro.",Male,sim
108,26611,2,1,0,0,0,0,0,1,2,outros,50.0,Mas só quando ela voltar pros meu braços.,Female,sim
109,27417,1,0,1,0,0,0,0,0,1,aparencia,50.0,"Quando chega no baile, ela é atração.",Female,sim
110,27420,2,2,0,0,0,0,0,0,2,identidade,100.0,Ela é terrível!,Female,sim
111,27422,2,1,1,0,0,0,0,0,2,identidade,50.0,"Ela é top, capa de revista.",Female,sim
112,27435,2,1,0,0,0,0,1,0,2,identidade,50.0,"OnlyFans) Ela é malandra, é safadinha.",Female,sim
113,27442,3,2,0,0,0,0,1,0,3,identidade,100.0,"Ela é malandra, é safadinha.",Female,sim
114,29099,3,1,0,0,0,0,1,1,3,identidade,50.0,"Tem mulher solteira, vai, vai.",Female,sim
115,29638,3,1,0,0,0,0,2,0,3,comportamentos,100.0,Ela rebola gostoso.,Female,sim
116,29653,1,1,0,0,0,0,0,0,1,identidade,50.0,"Ela tá solteira na pista, voltou pro paredão.",Female,sim
117,29656,3,0,0,0,0,1,2,0,3,comportamentos,100.0,Mas ela prefere ficar sozinha.,Female,sim
118,30660,3,1,1,0,0,0,1,0,3,identidade,50.0,"Que mina cavala, vou precisar de uma sela.",Female,sim
119,30893,3,1,0,0,1,1,0,0,3,identidade,50.0,Deus que ele é justo!,Male,sim
120,31017,5,2,0,0,1,0,2,0,5,identidade,100.0,Bruxo só tem menino selvagem.,Male,sim
121,31814,3,2,0,0,0,0,1,0,3,identidade,100.0,"Ela tá solteira, mas não tá carente.",Female,sim
122,31884,1,0,0,0,0,0,0,1,1,outros,50.0,"Não nasceu pra ser mulher solteira nasceu pra mim, pra viver coladim.",Female,sim
123,32167,1,0,0,0,0,1,0,0,1,valores,50.0,Jesus tava comigo.,Male,sim
124,32205,2,0,0,0,0,0,1,1,2,comportamentos,50.0,Que os maloqueiro tá deixando eles forte.,Male,sim
125,32498,1,1,0,0,0,0,0,0,1,identidade,50.0,Mãe pode ficar bem tranquila que as conta tá paga.,Female,sim
126,32675,6,1,1,1,1,0,2,0,6,comportamentos,100.0,"Mina doidona taca fogo, passa a goma, compra tudo.",Female,sim
127,32825,1,1,0,0,0,0,0,0,1,identidade,50.0,Matheus tá patrão e um salve pro.,Male,sim
128,32828,4,2,0,0,0,2,0,0,4,identidade,100.0,Porque aqui só tem menino bom.,Male,sim
129,32862,3,0,0,0,1,1,1,0,3,valores,50.0,"Oh, você joga sujo, mina viciante, o meu ponto fraco.",Female,sim
130,33074,1,0,0,0,0,0,1,0,1,comportamentos,50.0,"Ai, ah, ela faz suruba, mas ela não é puta.",Female,sim
131,33075,2,2,0,0,0,0,0,0,2,identidade,100.0,"Ela é solteira, yah-yah-yah.",Female,sim
132,33077,5,1,0,0,1,1,2,0,5,comportamentos,100.0,"Ahn, ahn, ela faz suruba, mas ela não é puta.",Female,sim
133,33141,3,1,0,0,1,0,1,0,3,identidade,50.0,"Aí, que ela é putinha da web, faz um cash vendendo conteúdo.",Female,sim
134,33207,3,0,0,0,0,0,2,1,3,comportamentos,100.0,"Baile lotado, mas sem ela é vazio.",Female,sim
135,33260,3,1,1,0,0,0,1,0,3,identidade,50.0,"E ela vem tão glamorosa, vestida de rosa.",Female,sim
136,33281,1,1,0,0,0,0,0,0,1,identidade,50.0,Várias opção e hoje ela foi a escolhida.,Female,sim
137,33399,2,0,2,0,0,0,0,0,2,aparencia,100.0,Mais uma vez te vejo tirando a roupa e pessoalmente ela é melhor que na foto.,Female,sim
138,33771,0,0,0,0,0,0,0,0,0,,0.0,"Com dezenove tô bagunçando, eles tonto.",Male,sim
139,33853,1,1,0,0,0,0,0,0,1,identidade,50.0,Eu sei que tu e ela é rica.,Female,sim
140,34684,0,0,0,0,0,0,0,0,0,,0.0,"Toda cabulosa, indecente o tanto que ela é gostosa.",Female,sim
141,34983,2,1,0,0,0,0,1,0,2,identidade,50.0,A As mina aqui são braba.,Female,sim
142,35893,4,2,0,1,0,1,0,0,4,identidade,100.0,Preto favelado e a menina patricinha.,Female,sim
143,36122,3,1,0,0,0,0,2,0,3,comportamentos,100.0,"Licor 43 espanca, ela fica louca, safadinha.",Female,sim
144,36171,2,1,1,0,0,0,0,0,2,identidade,50.0,"Vê só pela passada ela sabe, o menino é caro.",Male,sim
145,36188,7,1,1,1,1,1,2,0,7,comportamentos,100.0,"Eu vi lá, eles não querem ver preto vencedor.",Male,sim
146,36313,2,1,0,0,0,0,1,0,2,identidade,50.0,"Ostentação, deixa ela louca, palmeia.",Female,sim
147,36699,4,0,2,0,0,1,1,0,4,aparencia,100.0,Pra deixa a princesa bruxa.,Female,sim
148,36807,2,0,1,0,0,0,1,0,2,aparencia,50.0,"Ela é novinha, mas não inocente.",Female,sim
149,37132,2,0,0,0,2,0,0,0,2,habilidades,100.0,Ela faz mágica comigo.,Female,sim
150,37206,3,1,0,0,0,0,2,0,3,comportamentos,100.0,"Caralho, os paparazzi tirando foto, eles é foda, mano.",Male,sim
151,37408,5,2,2,0,0,0,1,0,5,identidade,100.0,Ela era linda e tava carente.,Female,sim
152,37418,3,1,0,1,0,0,1,0,3,identidade,50.0,É que eu sou homem só vivo errando.,Male,sim
153,37526,2,0,0,0,0,0,2,0,2,comportamentos,100.0,E o som já tá no alto (o som já tá no alto) Vizinho já tá puto.,Male,sim
154,37565,3,0,1,0,0,1,0,1,3,valores,50.0,"Ela tem muito bom gosto (Okay) Mas eu quero ver mais de perto (Ahn) Baile sem você bebê, p'ra mim parece um deserto.",Female,sim
155,37758,4,0,1,0,1,1,1,0,4,aparencia,50.0,"Quando você vier, por favor, não coma pouco (yeah) Noites que ela fica louca (uh) Nem sempre tá crazy (uh) (Ela age) como se fosse poucas (poucas, ó) Mas isso só às vezes (só às vezes) Uma dose atrás da outra (ou) Chapa e nem percebe (cê) Só se acaba em motel (mo) Antes que acabe, é check (check) (Uh) minha neblina é aonde acontece (yeah) (Uh) (ahn) igual minha carteira, minha blunt tá verde (yeah) (Uh) (huh) só ando engordando, tô comendo cash (yeah) (Uh) não preciso das que se envolvem com pac (ayy) Goles e goles e goles e goles, yeah.",Female,sim
156,37836,1,0,0,0,0,0,1,0,1,comportamentos,50.0,Hoje ela joga pros mlk do.,Female,sim
157,38087,1,1,0,0,0,0,0,0,1,identidade,50.0,"Olhando o céu, ela é cruel.",Female,sim
158,38390,3,1,0,1,0,0,1,0,3,papel_social,50.0,Ela era diferente.,Female,sim
159,38446,5,1,0,0,1,1,2,0,5,comportamentos,100.0,"Ela é fútil, mas eu gosto.",Female,sim
160,38619,5,1,1,1,0,1,1,0,5,identidade,50.0,"Clyde da quebrada (aham) Capa de revista, a minha mandraka (aham) Se eu tô no toque, ela é mochila.",Female,sim
161,38688,2,1,0,0,0,1,0,0,2,valores,50.0,Ele é falso e mentiroso vou chamar de.,Male,sim
162,38715,2,2,0,0,0,0,0,0,2,identidade,100.0,Ele é falso e mentiroso vou chamar de loki.,Male,sim
163,38763,3,2,0,0,0,1,0,0,3,identidade,100.0,Ela é viciada em cores.,Female,sim
164,38777,2,1,0,0,0,0,0,1,2,outros,50.0,Blunt é bombom uma taça de.,Male,sim
165,38902,2,0,0,0,0,0,2,0,2,comportamentos,100.0,"Ela é insaciável, vem pra cima e já me morde.",Female,sim
166,39204,2,1,0,0,0,0,1,0,2,comportamentos,50.0,"Deus) Ele era trap, agora é pop.",Male,sim
167,39214,4,2,0,0,0,0,2,0,4,identidade,100.0,"Ele travou meus royalties, ele é falido.",Male,sim
168,39215,2,0,0,1,0,0,1,0,2,papel_social,50.0,"Precisa de grana, ele só anda liso (hahaha) Caos, fala mais baixo que eu sou patrão, neguin.",Male,sim
169,39274,3,1,0,0,0,0,2,0,3,comportamentos,100.0,Ela gosta quando eu mando foto do corte (na régua) Debochada e gosta de aventura (ela é debochada) Disse que meu traje combina com suporte.,Female,sim
170,39475,1,0,0,0,0,0,0,1,1,outros,50.0,"Conta as hora e a vantagem (ahn, ahn) Ela já é uma peça, eu nem vou gastar na montagem (ah) Se eu fosse uma luz, taria na mais alta voltagem.",Female,sim
171,39487,1,0,0,0,0,0,0,1,1,outros,50.0,"Meu copo tava pink, joguei cinco e ele ficou muddy.",Male,sim
172,39554,3,2,0,0,0,0,1,0,3,identidade,100.0,"Menina maluca, instinto piranha.",Female,sim
173,39827,2,1,0,0,0,0,1,0,2,identidade,50.0,Ela é ignorante por cima do pau.,Female,sim
174,39888,1,0,0,0,1,0,0,0,1,habilidades,50.0,Duda porque ela faz completo.,Female,sim
175,40344,5,1,2,0,0,0,2,0,5,aparencia,100.0,"Álcool vai subir pro sangue (vem pra base fuder) Ela é tão bonita, pena que quer todos da minha gangue.",Female,sim
176,40345,0,0,0,0,0,0,0,0,0,,0.0,"Ela é tão bonita, pena que quer todos da minha gangue.",Female,sim
177,40575,2,0,2,0,0,0,0,0,2,aparencia,100.0,"[MC Lipi] Tipo ilusão de ótica, quando avistei essa mina gostosa.",Female,sim
178,40576,3,2,0,0,0,0,1,0,3,identidade,100.0,"Eita mina perigosa, oloco, será que ela me namora?",Female,sim
179,40585,1,0,0,0,0,0,0,1,1,outros,50.0,"Eu me encantei, minha futura mulher [MC Piedro] Ela é empoderada, parece que a pele dela brilha como a.",Female,sim
180,40595,1,0,1,0,0,0,0,0,1,aparencia,50.0,"Ela é muito linda, linda, linda.",Female,sim
181,40687,3,0,2,0,0,0,1,0,3,aparencia,100.0,Ela é linda e até cego.,Female,sim
182,40704,2,1,0,0,0,0,1,0,2,identidade,50.0,"Porque ela é braba, cada sentada dela é uma pancada.",Female,sim
183,40710,2,2,0,0,0,0,0,0,2,identidade,100.0,Porque ela é braba [Theus.,Female,sim
184,40712,2,1,0,0,1,0,0,0,2,identidade,50.0,"Não notar ela é impossível, seu feitiço é irresistível.",Female,sim
185,40867,2,0,0,0,0,0,1,1,2,outros,50.0,"Que eu gosto quando quica, quica, quica (ele mesmo, DJ João.",Male,sim
186,41472,4,1,0,0,1,0,2,0,4,comportamentos,100.0,"Fuma do kunk, ela se garante, ela ignorante por cima do pau.",Female,sim
187,41480,3,2,0,0,1,0,0,0,3,identidade,100.0,Ela ignorante por cima do pau.,Female,sim
188,41727,2,0,2,0,0,0,0,0,2,aparencia,100.0,Que mina cavala eu vou precisar de uma cela.,Female,sim
189,42449,2,0,0,0,1,0,0,1,2,habilidades,50.0,Sem saber do que ela é capaz.,Female,sim
190,42452,4,2,0,0,0,0,2,0,4,identidade,100.0,Ela é diferente de tudo e de todas que já conheci no mundão.,Female,sim
191,42453,2,1,1,0,0,0,0,0,2,identidade,50.0,Ela é linda de vestido colado cabelo alisado sabe bem o que quer.,Female,sim
192,42456,2,1,1,0,0,0,0,0,2,identidade,50.0,Ela é linda com o jeito seduzente.,Female,sim
193,43425,2,0,0,0,0,0,1,1,2,comportamentos,50.0,Que ela fosse igual a você...,Female,sim
194,43988,3,1,0,0,1,0,1,0,3,comportamentos,50.0,Por mas que ela dê mole mas respeita a mina.,Female,sim
195,44661,2,1,0,0,0,0,1,0,2,identidade,50.0,Elas não são brincadeira.,Female,sim
196,46169,3,2,0,0,0,0,1,0,3,identidade,100.0,"Ela é debochada, ela tá que tá.",Female,sim
197,46498,4,1,0,0,1,0,2,0,4,comportamentos,100.0,Ela me ama tanto que ela fica louca.,Female,sim
198,47142,1,0,0,0,0,0,1,0,1,comportamentos,50.0,A minha mãe com ele é um grude.,Male,sim
199,47381,4,1,2,0,1,0,0,0,4,aparencia,100.0,Natural ele já é bonito.,Male,sim
200,47698,2,2,0,0,0,0,0,0,2,identidade,100.0,Ryan tá casado.,Male,sim
201,47863,1,0,0,0,0,0,1,0,1,comportamentos,50.0,É que essa mina é louca.,Female,sim
202,47885,1,0,1,0,0,0,0,0,1,aparencia,50.0,"Ô, o mundo tem mulheres lindas.",Female,sim
203,48523,2,1,0,0,0,0,1,0,2,identidade,50.0,"Como menino inocente, ela levou meu coração.",Male,sim
204,48609,2,0,0,1,0,0,1,0,2,papel_social,50.0,"Bull, elas fica louca.",Female,sim
205,48658,4,1,1,0,1,0,1,0,4,aparencia,50.0,Ela é mais forte que todas que eu conheci.,Female,sim
206,48780,4,2,0,0,0,1,1,0,4,identidade,100.0,"Ele era pagodeiro, malokeiro.",Male,sim
207,48938,4,1,1,0,1,0,1,0,4,identidade,50.0,"Mulher bonita mexe com meu coração mas também não me iludo, não.",Female,sim
208,49108,2,2,0,0,0,0,0,0,2,identidade,100.0,Kevin tá solteiro.,Male,sim
209,49129,1,1,0,0,0,0,0,0,1,identidade,50.0,"Ela é minha mandraka, né.",Female,sim
210,49291,1,0,0,0,0,0,1,0,1,comportamentos,50.0,Deixa as mina louca.,Female,sim
211,49295,3,2,0,0,0,0,1,0,3,identidade,100.0,As mina louca.,Female,sim
212,49403,3,2,0,0,0,0,0,1,3,identidade,100.0,"VG] Pego de lado, ela geme gostoso.",Female,sim
213,49409,7,2,1,0,2,0,2,0,7,identidade,100.0,Ela é selvagem e faz malabares.,Female,sim
214,49414,3,0,0,0,0,1,2,0,3,comportamentos,100.0,Até mulher tá apaixonada.,Female,sim
215,49418,1,0,0,0,0,0,1,0,1,comportamentos,50.0,"Até mulher tá apaixonada [MC Rodolfinho] Então vai, cai, rebola pro pai.",Female,sim
216,49434,3,1,1,0,0,0,0,1,3,outros,50.0,Acho que eu casei com a mulher gato.,Female,sim
217,49449,3,2,0,1,0,0,0,0,3,identidade,100.0,"Ela é rica, não liga também vai pro seu lado.",Female,sim
218,49558,2,0,0,0,0,0,2,0,2,comportamentos,100.0,É que as minas são amigas.,Female,sim
219,50045,3,2,0,0,0,0,1,0,3,identidade,100.0,"Só menino bom, atracou de torpedão.",Male,sim
220,50120,1,0,0,0,1,0,0,0,1,habilidades,50.0,"Cai no golpe quem quer, essa mina é treinada.",Female,sim
221,50183,4,1,2,0,1,0,0,0,4,aparencia,100.0,Que garota bela como ela é donzela.,Female,sim
222,50187,0,0,0,0,0,0,0,0,0,,0.0,Gosto do jeito dela de ser menina mulher.,Female,sim
223,50644,3,1,0,2,0,0,0,0,3,papel_social,100.0,"Não, já pra confirmar que ele é o rei, pode apitar.",Male,sim
224,50688,0,0,0,0,0,0,0,0,0,,0.0,"Pedro é hit, só paga pra ver, tem gostosa na festa.",Male,sim
225,50703,3,1,0,1,0,0,1,0,3,identidade,50.0,Ela é bagunceira e tá com a amiguinha.,Female,sim
226,51067,3,1,2,0,0,0,0,0,3,aparencia,100.0,Ela é gostosa do bundão e gosta dos bigode.,Female,sim
227,51123,1,0,0,0,0,0,1,0,1,comportamentos,50.0,Então deixa vim que ela tá quente pra não perder o time.,Female,sim
228,51304,2,1,0,0,0,0,1,0,2,identidade,50.0,"Lá ela é safada, aqui é presença.",Female,sim
229,51397,0,0,0,0,0,0,0,0,0,,0.0,"Fartura, loucura, hoje ela quer dar pros maloqueiro.",Female,sim
230,51581,2,2,0,0,0,0,0,0,2,identidade,100.0,"Esquema tático, é, menino raro, eu sou.",Male,sim
