frase_id,frase,majority_vote
14430,"Eles são legais, além do mais, Não querem nem saber.",comportamentos
14630,Todos eles afim de entregar os irmão.,comportamentos
14647,De um ônibus pra outro aquilo para ele era o fim.,identidade
15846,Que mulher ruim.,comportamentos
15936,"Homem é homem, mulher é mulher.",identidade
16025,A mina era virgem e ainda era menor.,identidade
16321,"Mas ela é linda, Muito mais do que linda, Very, very beautiful!",identidade
16332,"Por que ela é linda, Muito mais do que linda, Very, very beautiful!",
16405,Aqui nesse mundinho fechado ela é incrível.,
16421,Ela é tão tão vistosa que talvez seja mentira.,identidade
16705,Jackie uma menina tão bonita que enjoa.,aparencia
16927,Menina é gostoso demais te amar.,comportamentos
17578,"Ela era princesa eu era o plebeu, Quem é mais foda que eu?",identidade
17591,"Em fração de segundos meu castelo caiu, A mais bonita da escola rainha passista, Se transformou numa vaca nazista.",aparencia
17603,"Só se liga nessa, Que mina cabulosa olha só que conversa.",identidade
17646,"Ele é safado, Fugiu do.",identidade
17690,"Ela está suada, pronta pra se derreter!",
17691,"Ela é puro êxtase, êxtase.",identidade
17701,"Vontade de dançar até o amanhecer, Ela está suada, pronta pra se derreter!.",
17709,"Ninguém explica, ela é bonita.",aparencia
17779,Deus que ele é justo.,valores
17793,Porque a confiança é uma mulher ingrata.,comportamentos
17868,"Ela tem força, ela tem sensibilidade, ela é guerreira.",identidade
17869,"Ela é uma deusa, ela é mulher de verdade.",aparencia
18834,"Olha lá, ele não é feliz.",identidade
19223,"Fiquei sem chão [Refrão 2x] Menino bonito, menino bonito, ai ai menino bonito, menino bonito ai.",aparencia
19229,"ô [Refrão 4x] Menino bonito, menino bonito, ai ai menino bonito, menino bonito ai.",aparencia
20137,Ela é política aplicada e conversas banais.,identidade
20138,Se ela tiver muito afim seja perspicaz.,comportamentos
20739,E ela é tão linda.,identidade
21106,"Rasga minha roupa, ela é bipolar.",identidade
21395,Só vou saber se ela é boa depois que eu tacar.,habilidades
21712,Eles fica puto que nóis tá lucrando muito.,comportamentos
22006,Que uma mulher foda virou sua ex.,identidade
22120,"E, ó que ela foi covarde.",identidade
22994,Que ele é o cara errado.,identidade
23266,"Mina linda, mas que obra-prima.",aparencia
23334,Gomes) É ele mesmo.,outros
23564,"Hoje eu vou ser seu, duble de marido yeah.",identidade
23610,Hoje eu vou ser seu duble de marido yeah.,identidade
23666,Kadu hoje não tá mais pobre.,identidade
23846,Que elas tão cheia de malicia.,identidade
24166,João tá certo.,comportamentos
24215,"Só porque ele é grande ele pensa que é dois (Quem, quem?) Meu pau.",identidade
24216,"Só porque ele é grande ele pensa que é dois (Quem, Digu?) Meu pau.",papel_social
24508,"Quem conta conta muito e manda a inveja pra lá (Hahaha, a mina tá cara—) Sem camisa, copo na mão e.",outros
24512,"Ela é uma flor, mas ama fumar planta (Hahaha) Transa que transa com a amiga piranha.",identidade
24518,Tudo conforme os plano (Sempre) Minha filha rica e eu sou.,
24631,Roma dentro da minha goma elas fica pelada.,comportamentos
24899,"É tipo isca pras piranha, elas fica apaixonada.",comportamentos
24978,Ela fica molhada quando vê um vida louca.,comportamentos
25004,Ela é muito gostosa com essa cara de atriz.,aparencia
25045,"Ela acha cativante, a vida do funk que nóis leva.",identidade
25115,Pra comer essas mina linda que cobra 10k.,valores
25159,"Que eu gosto quando quica, quica, quica (ele mesmo) (DJ João.",comportamentos
25242,Fafá é cara e o.,identidade
25354,"Dindin não é problema, nas puta taca.",comportamentos
25474,"Quarenta graus, nós pesado, ela é mídia.",aparencia
25626,"MD, o migo vira vida, a bebida [MC Daniel] Uma mina gostosa incomoda muita gente.",aparencia
26308,"Ele era pagodeiro, maloqueiro.",papel_social
26611,Mas só quando ela voltar pros meu braços.,outros
27417,"Quando chega no baile, ela é atração.",aparencia
27420,Ela é terrível!,identidade
27422,"Ela é top, capa de revista.",identidade
27435,"OnlyFans) Ela é malandra, é safadinha.",identidade
27442,"Ela é malandra, é safadinha.",identidade
29099,"Tem mulher solteira, vai, vai.",identidade
29638,Ela rebola gostoso.,comportamentos
29653,"Ela tá solteira na pista, voltou pro paredão.",identidade
29656,Mas ela prefere ficar sozinha.,comportamentos
30660,"Que mina cavala, vou precisar de uma sela.",identidade
30893,Deus que ele é justo!,identidade
31017,Bruxo só tem menino selvagem.,identidade
31814,"Ela tá solteira, mas não tá carente.",identidade
31884,"Não nasceu pra ser mulher solteira nasceu pra mim, pra viver coladim.",outros
32167,Jesus tava comigo.,valores
32205,Que os maloqueiro tá deixando eles forte.,comportamentos
32498,Mãe pode ficar bem tranquila que as conta tá paga.,identidade
32675,"Mina doidona taca fogo, passa a goma, compra tudo.",comportamentos
32825,Matheus tá patrão e um salve pro.,identidade
32828,Porque aqui só tem menino bom.,identidade
32862,"Oh, você joga sujo, mina viciante, o meu ponto fraco.",valores
33074,"Ai, ah, ela faz suruba, mas ela não é puta.",comportamentos
33075,"Ela é solteira, yah-yah-yah.",identidade
33077,"Ahn, ahn, ela faz suruba, mas ela não é puta.",comportamentos
33141,"Aí, que ela é putinha da web, faz um cash vendendo conteúdo.",identidade
33207,"Baile lotado, mas sem ela é vazio.",comportamentos
33260,"E ela vem tão glamorosa, vestida de rosa.",identidade
33281,Várias opção e hoje ela foi a escolhida.,identidade
33399,Mais uma vez te vejo tirando a roupa e pessoalmente ela é melhor que na foto.,aparencia
33771,"Com dezenove tô bagunçando, eles tonto.",
33853,Eu sei que tu e ela é rica.,identidade
34684,"Toda cabulosa, indecente o tanto que ela é gostosa.",
34983,A As mina aqui são braba.,identidade
35893,Preto favelado e a menina patricinha.,identidade
36122,"Licor 43 espanca, ela fica louca, safadinha.",comportamentos
36171,"Vê só pela passada ela sabe, o menino é caro.",identidade
36188,"Eu vi lá, eles não querem ver preto vencedor.",comportamentos
36313,"Ostentação, deixa ela louca, palmeia.",identidade
36699,Pra deixa a princesa bruxa.,aparencia
36807,"Ela é novinha, mas não inocente.",aparencia
37132,Ela faz mágica comigo.,habilidades
37206,"Caralho, os paparazzi tirando foto, eles é foda, mano.",comportamentos
37408,Ela era linda e tava carente.,identidade
37418,É que eu sou homem só vivo errando.,identidade
37526,E o som já tá no alto (o som já tá no alto) Vizinho já tá puto.,comportamentos
37565,"Ela tem muito bom gosto (Okay) Mas eu quero ver mais de perto (Ahn) Baile sem você bebê, p'ra mim parece um deserto.",valores
37758,"Quando você vier, por favor, não coma pouco (yeah) Noites que ela fica louca (uh) Nem sempre tá crazy (uh) (Ela age) como se fosse poucas (poucas, ó) Mas isso só às vezes (só às vezes) Uma dose atrás da outra (ou) Chapa e nem percebe (cê) Só se acaba em motel (mo) Antes que acabe, é check (check) (Uh) minha neblina é aonde acontece (yeah) (Uh) (ahn) igual minha carteira, minha blunt tá verde (yeah) (Uh) (huh) só ando engordando, tô comendo cash (yeah) (Uh) não preciso das que se envolvem com pac (ayy) Goles e goles e goles e goles, yeah.",aparencia
37836,Hoje ela joga pros mlk do.,comportamentos
38087,"Olhando o céu, ela é cruel.",identidade
38390,Ela era diferente.,papel_social
38446,"Ela é fútil, mas eu gosto.",comportamentos
38619,"Clyde da quebrada (aham) Capa de revista, a minha mandraka (aham) Se eu tô no toque, ela é mochila.",identidade
38688,Ele é falso e mentiroso vou chamar de.,valores
38715,Ele é falso e mentiroso vou chamar de loki.,identidade
38763,Ela é viciada em cores.,identidade
38777,Blunt é bombom uma taça de.,outros
38902,"Ela é insaciável, vem pra cima e já me morde.",comportamentos
39204,"Deus) Ele era trap, agora é pop.",comportamentos
39214,"Ele travou meus royalties, ele é falido.",identidade
39215,"Precisa de grana, ele só anda liso (hahaha) Caos, fala mais baixo que eu sou patrão, neguin.",papel_social
39274,Ela gosta quando eu mando foto do corte (na régua) Debochada e gosta de aventura (ela é debochada) Disse que meu traje combina com suporte.,comportamentos
39475,"Conta as hora e a vantagem (ahn, ahn) Ela já é uma peça, eu nem vou gastar na montagem (ah) Se eu fosse uma luz, taria na mais alta voltagem.",outros
39487,"Meu copo tava pink, joguei cinco e ele ficou muddy.",outros
39554,"Menina maluca, instinto piranha.",identidade
39827,Ela é ignorante por cima do pau.,identidade
39888,Duda porque ela faz completo.,habilidades
40344,"Álcool vai subir pro sangue (vem pra base fuder) Ela é tão bonita, pena que quer todos da minha gangue.",aparencia
40345,"Ela é tão bonita, pena que quer todos da minha gangue.",
40575,"[MC Lipi] Tipo ilusão de ótica, quando avistei essa mina gostosa.",aparencia
40576,"Eita mina perigosa, oloco, será que ela me namora?",identidade
40585,"Eu me encantei, minha futura mulher [MC Piedro] Ela é empoderada, parece que a pele dela brilha como a.",outros
40595,"Ela é muito linda, linda, linda.",aparencia
40687,Ela é linda e até cego.,aparencia
40704,"Porque ela é braba, cada sentada dela é uma pancada.",identidade
40710,Porque ela é braba [Theus.,identidade
40712,"Não notar ela é impossível, seu feitiço é irresistível.",identidade
40867,"Que eu gosto quando quica, quica, quica (ele mesmo, DJ João.",outros
41472,"Fuma do kunk, ela se garante, ela ignorante por cima do pau.",comportamentos
41480,Ela ignorante por cima do pau.,identidade
41727,Que mina cavala eu vou precisar de uma cela.,aparencia
42449,Sem saber do que ela é capaz.,habilidades
42452,Ela é diferente de tudo e de todas que já conheci no mundão.,identidade
42453,Ela é linda de vestido colado cabelo alisado sabe bem o que quer.,identidade
42456,Ela é linda com o jeito seduzente.,identidade
43425,Que ela fosse igual a você...,comportamentos
43988,Por mas que ela dê mole mas respeita a mina.,comportamentos
44661,Elas não são brincadeira.,identidade
46169,"Ela é debochada, ela tá que tá.",identidade
46498,Ela me ama tanto que ela fica louca.,comportamentos
47142,A minha mãe com ele é um grude.,comportamentos
47381,Natural ele já é bonito.,aparencia
47698,Ryan tá casado.,identidade
47863,É que essa mina é louca.,comportamentos
47885,"Ô, o mundo tem mulheres lindas.",aparencia
48523,"Como menino inocente, ela levou meu coração.",identidade
48609,"Bull, elas fica louca.",papel_social
48658,Ela é mais forte que todas que eu conheci.,aparencia
48780,"Ele era pagodeiro, malokeiro.",identidade
48938,"Mulher bonita mexe com meu coração mas também não me iludo, não.",identidade
49108,Kevin tá solteiro.,identidade
49129,"Ela é minha mandraka, né.",identidade
49291,Deixa as mina louca.,comportamentos
49295,As mina louca.,identidade
49403,"VG] Pego de lado, ela geme gostoso.",identidade
49409,Ela é selvagem e faz malabares.,identidade
49414,Até mulher tá apaixonada.,comportamentos
49418,"Até mulher tá apaixonada [MC Rodolfinho] Então vai, cai, rebola pro pai.",comportamentos
49434,Acho que eu casei com a mulher gato.,outros
49449,"Ela é rica, não liga também vai pro seu lado.",identidade
49558,É que as minas são amigas.,comportamentos
50045,"Só menino bom, atracou de torpedão.",identidade
50120,"Cai no golpe quem quer, essa mina é treinada.",habilidades
50183,Que garota bela como ela é donzela.,aparencia
50187,Gosto do jeito dela de ser menina mulher.,
50644,"Não, já pra confirmar que ele é o rei, pode apitar.",papel_social
50688,"Pedro é hit, só paga pra ver, tem gostosa na festa.",
50703,Ela é bagunceira e tá com a amiguinha.,identidade
51067,Ela é gostosa do bundão e gosta dos bigode.,aparencia
51123,Então deixa vim que ela tá quente pra não perder o time.,comportamentos
51304,"Lá ela é safada, aqui é presença.",identidade
51397,"Fartura, loucura, hoje ela quer dar pros maloqueiro.",
51581,"Esquema tático, é, menino raro, eu sou.",identidade
51623,GBR Essa menina é muito sexy.,aparencia
51913,"Igual arroz, ela fica soltinha.",aparencia
53015,Pois sem saber ela é minha alegria.,habilidades
53144,"Essa menina mulher, da pele preta.",identidade
53176,Meia-noite ela jura eterno amor.,comportamentos
53602,"Senão, não se faz um samba não (Senão é como amar uma mulher só linda.",comportamentos
53637,E se hoje ele é branco na poesia.,identidade
53638,Se hoje ele é branco na poesia.,
53639,"Ele é negro demais no coração (Eu, por exemplo, o capitão do mato.",identidade
53749,Eu lembro da moça bonita.,aparencia
53767,Era a moça mais linda de toda a cidade.,aparencia
53820,Pense nas meninas cegas inexatas.,aparencia
53929,Toda menina baiana tem.,identidade
54163,Eles são discretos.,identidade
55064,"Um preto, um pobre, um estudante, uma mulher sozinha.",identidade
55071,"Um rapaz delicado e alegre que canta e requebra, é demais.",identidade
55488,É mãe solteira.,identidade
55682,Essa menina mulher.,identidade
55859,"E malandro é malandro, mané é mané (Podes crer que é) Malandro é malandro e mané é mané.",outros
55869,Diz pra mim (Podes crer que é) Malandro é malandro e mané é mané.,valores
55906,Olha aí (Podes crer que é) Malandro é malandro.,identidade
57655,Quando eu falava desses homens sórdidos.,aparencia
58044,Ela é bela e fera.,identidade
58351,Toda menina baiana.,identidade
59122,Minha esposa ali tão bela.,aparencia
59266,"Tô de namoro com uma moça solteirona, a bonitona quer ser a minha patroa, os meus parentes já estão me criticando estão falando que ela é muito coroa, ela é madura já tem mais de trinta anos mas para mim o que importa é a pessoa, não interessa se ela é coroa panela velha é que faz comida boa.",aparencia
59267,"Menina nova é muito bom mas mete medo não tem segredo e vive falando a toa eu só confio em mulher com mais de trinta, sendo distinta a gente erra ela perdoa, para o capricho pode ser de qualquer raça, ser africana, italiana ou alemoa, não interessa se ela é coroa panela velha é que faz comida boa.",papel_social
59268,"A nossa vida começa aos quarenta anos, nascem os planos do futuro da pessoa, quem casa cedo logo fica separado, porque a vida de casado as vezes enjoa, dona de casa tem que ser mulher madura, porque ao contrário o problema se amontoa, não interessa se ela é coroa panela velha é que faz comida boa.",identidade
59269,"Vou me casar para ganhar o seu carinho, viver sozinho a gente desacossoa e o gaúcho sem mulher não vale nada e que nem peixe viver fora da lagoa, to resolvido vou contrariar meus parentes aquela gente que vive falando a toa, não interessa se ela é coroa panela velha é que faz comida boa.",identidade
59444,O Chico foi baleado.,outros
59593,"Tô de namoro com uma moça solteirona, a bonitona quer ser minha patroa, os meus parentes já estão me criticando estão falando que ela é muito coroa, ela é madura já tem mais de trinta anos mais para mim o que importa é a pessoa, não interessa se ela é coroa panela velha é que faz comida boa.",identidade
59594,"Menina nova é muito bom mais mete medo não tem segredo e vive falando a toa eu só confio em mulher com mais de trinta sendo distinta a gente erra ela perdoa, vale o capricho pode ser de qualquer raça, ser africana, italiana ou alemoa, não interessa se ela é coroa panela velha é que faz comida boa.",
59595,"A nossa vida começa aos quarenta anos, nasce os planos do futuro da pessoa, quem casa cedo logo fica separado, porque a vida de casado as vezes enjoa, dona de casa tem que ser mulher madura, porque ao contrário o problema se amontoa, não interessa se ela é coroa panela velha é que faz comida boa.",papel_social
59624,Por causa de quem eu amo vou deiar minas gerais.,identidade
59699,"Arrume tudo mãe querida, que seu filho vai voltar.",identidade
60537,Ela era muito caliente.,identidade
60553,Avisa pro meu pai que ele não é mais caseiro.,outros
60554,A partir de hoje ele é fazendeiro.,identidade
60664,Ela é linda de chapéu e bota.,aparencia
61269,É na 4x4 que elas ficam loucas.,comportamentos
62471,Deixei ela plantada linda e maquiada.,identidade
62473,E ainda saí falando que ela tava errada.,comportamentos
62665,"Ela é louca, muito louca!",identidade
62668,"Lalaiá, ela é louca demais.",identidade
62684,Ela é louca chorus.,identidade
62689,Ela é louca hook.,identidade
62691,"Lalaiá, ela é louca demais (ela é louca) Laiá, lalaiá.",comportamentos
62697,"E o beijo é caixa e o sexo encaixa, ela é massa fi' verse.",outros
62718,"Lalaiá, ela é louca.",identidade
62994,Menina bonita.,aparencia
63239,"Deusa linda do amor, toma conta de mim.",outros
63316,Ela é maravilhosa.,identidade
63831,"Que moço igual não há pela cidade, Mande um recado à minha amada, lua vai...",identidade
64291,Menina sou louco por ti.,comportamentos
65061,Ela já foi esquecida.,comportamentos
66163,Cristo era bandido.,identidade
66172,Lúcia era uma menina linda.,aparencia
66248,Cristo era só ódio por dentro.,identidade
66259,Aquela menina boçal pra quem jurei o meu amor.,identidade
66331,Ela também estava perdida.,comportamentos
67255,DP Tudo aconteceu quando ela chegou atrasada.,comportamentos
67672,Da mulher aranha.,identidade
68001,Fala pra ele que ele foi usado.,comportamentos
68557,Ela é toda safadinha.,comportamentos
68798,"Na minha cabeça, ela só queria forrozar.",comportamentos
69125,Que eu faço a mulher mais feliz desse mundão.,habilidades
69531,Eu te acho a mina mais linda.,aparencia
69690,Mas só que a mina é muito linda.,aparencia
69747,Ela é mó gata.,aparencia
69783,"Ela é experiente, permanece em presença leve.",habilidades
69787,"Ela é experiente, sentando me deixa mais leve.",habilidades
69833,"Antes da realidade, ela é minha flor de mate.",identidade
69916,"Hoje eu tô ligado que se existe o paraíso, elas são a passagem.",valores
70041,"Dar uma namorada boa na piscina
.",comportamentos
70235,Mulher bonita mexe com meu coração.,aparencia
70253,Em quatro paredes a mina meiga virou a.,identidade
70831,Olha como ele baba.,outros
70961,Ela é estilosa.,identidade
71009,Ela é estilosa (ela é estilosa).,aparencia
71177,Ele é justo e cabuloso.,habilidades
71473,"E dessa vez ela não tava errada

.",comportamentos
71819,Tá lotado de mina gostosa.,identidade
71921,Ela é covardia demais.,aparencia
72086,"Um tapa na cara, minha mãe tá certa.",valores
72377,"É ligação, sua mãe fica puta.",comportamentos
72505,E você mulher guerreira.,identidade
72616,"Passei e ela tá pousada

.",outros
73160,"Não importa se ele é fraco, sofredor.",identidade
73765,"Agora já era, ela já tá desapegada.",identidade
73791,Linda mina bela que muda a atmosfera.,aparencia
74542,Ela é mimada gata e louca.,aparencia
74567,Menina má.,comportamentos
75111,Era um menino desobediente.,comportamentos
75113,"Menino maduro, coração carente
.",identidade
75820,"E ela é namoradeira, mandona da.",identidade
75983,"Tu me mostrou que esse ditado, ele tava errado.",outros
76324,E hoje ela tá diferente.,identidade
76512,"No filme de terror, ela é a mocinha, eu sou vilão.",identidade
76517,"Ela é uma mistura de razão com ficção
.",identidade
77829,E nada vale um abraço se ele for falso.,valores
77897,Essa moça é linda.,aparencia
77946,"Catucando essa mina maluca
.",
78844,Ele está sedento de paixão.,outros
79568,Catucando essa mina maluca.,outros
79628,"Olhar feroz ela chega maldosa, nas ideia ela é libidinosa.",outros
79636,"Eu beijo ela e ela bem contente, falo que é resumo se surpreende.",comportamentos
79651,"Menina má é professora, ensina errada.",identidade
79652,Má intencionada mas mesmo assim ela é boa.,identidade
79951,É tchau para eles fui abençoado.,comportamentos
79987,"Eu confesso um pouquinho de medo, que essa mina é louca

.",identidade
80141,"Ela é formada, dá aula, ensina.",identidade
80145,"Eu tô sedento, ela sedenta.",comportamentos
80162,"Eu tô sedento, ela é sedenta.",comportamentos
80203,Tem essa pegada de mulher independente.,identidade
80355,"Ela é linda demais, é.",
80367,Ela é uma deusa grega.,identidade
80371,Mas ela é bem gigante.,identidade
80579,"Ela é malandra, sacana, safada.",aparencia
80603,Ela tá brisada.,identidade
80606,"Na cama, ela senta, ela é violenta, é isso que resume.",identidade
80622,"Estourei, ela é gostosa.",aparencia
80941,"O nosso amor, ele é feito de um fruto proibido

.",identidade
81069,"O menina carente, eu quero te ver sorrindo

.",identidade
81099,"O menina carente, eu quero te ver sorrindo
.",identidade
81575,Você pensa que ela é calma.,comportamentos
81598,"É cheia de esquema, ela é complicada.",identidade
82086,"E se ela é baladeira, nós vamo adiante.",comportamentos
82215,Se ele fica cheio de marra.,comportamentos
82657,"Os menino é ruim, é poucas palavras.",identidade
82672,Os menino é ruim.,comportamentos
82732,"Tem mulher pra caralho e os menino é sheik
.",outros
83347,"Ele é pretinho, magrinho, anda cheiroso, e tem 19.",identidade
83771,Mas quem pensou que ela tava depressiva em casa.,comportamentos
83940,De uma menina inocente e um homem de verdade.,identidade
83970,E no dia do casamento ela tava linda.,aparencia
83974,E no final da gravidez ela tava tão bela.,aparencia
84011,"Eita, menina braba.",comportamentos
84072,"Que ela é linda, é mais do que.",aparencia
84229,"Todo menino é rei mas toda menina que manda
.",identidade
84325,Já que ter carro daora pra eles é preciso.,outros
84545,Unha desenhada ela é top de linha.,identidade
84589,A menina inocente.,identidade
84636,"Lembro como fosse agora, um menino pequeno.",
84960,O novinho ficou maluco.,identidade
84990,Vários homem bomba.,
85011,"Que essa mina é preparada
.",habilidades
85096,Ela não quer mais namorico.,comportamentos
85172,Não importa se ela é puta.,papel_social
85175,"Ela é puta, mas também tem sentimento.",identidade
85176,"Ela é puta, mas também tem sentimento

.",identidade
85187,Ela é puta mas tem sentimento.,identidade
85293,"Ela veio quente, e hoje eu tô fervendo.",comportamentos
85294,"Que ela veio quente, hoje eu tô fervendo.",comportamentos
85317,"Ela veio quente, hoje eu tô fervendo.",comportamentos
85569,É só menino bom que tem problema na cabeça.,identidade
86007,"Minha filha tava grávida de um filho teu, de um filho teu!
.",identidade
86289,"Ela é minha aurora boreal, parte do meu ideal.",identidade
86337,Você foi fraco ela é piranha.,comportamentos
86349,"Ela quica demais
.",habilidades
86594,Então pensa na mulher gostosa.,aparencia
87037,Essa mina é assanhada.,comportamentos
87385,"Desde menor, minha mãe me diz: Hariel é terrível!.",identidade
87421,"Vai, ele não gira, capota.",identidade
87476,"Ela é da minha rua, ela é estilosa.",identidade
87555,"Garota linda, você é a minha paixão.",aparencia
87756,"Neymar é gol!

.",habilidades
87785,"Neymar é gol!
.",identidade
88046,Ela é mina de família.,identidade
88375,"Porsche, com uma mina top.",aparencia
88671,Arlequina é estilosa.,identidade
88839,KR3 que vai mandar pras mina maluca.,outros
89407,"Ele era funkeiro, mas era pai de família
.",identidade
89425,"Outros o criticavam porque ele era funkeiro
.",identidade
89444,"Os seus olhos brilhavam, ele estava animado
.",identidade
89470,"Ele era funkeiro, mas era pai de família.",papel_social
89598,"Senta pra caramba, essa menina escangalha.",identidade
89599,"Mas chegando no baile funk, ela é a sensação.",identidade
90010,Sou mulher independente não aceito opressão.,identidade
90013,"Sou mulher destemida, minha marra vem do gueto.",comportamentos
90533,"Ele é quentinho com refri não tem mistério
.",comportamentos
90612,Ela é uma mescla de sagacidade.,identidade
91299,"Deus que ele é justo, mas o mundo não.",valores
91346,"Meu, ele é foda, eu sou fã desse cara
.",identidade
91398,"Djonga é foda, eu sou fã desse cara
.",outros
91491,Quem olha pensa que ela é princesinha.,identidade
91548,Ela é boa na pista.,comportamentos
91686,A mina mais linda do bairro.,identidade
91696,(Mina maluca).,identidade
91776,"Ela é perita no blefe, danada, me olhando nos olhos nem pisca.",aparencia
91789,"Ela é braba no que faz, exala sagacidade.",identidade
92241,"Olha só, eles são iguais!.",identidade
92684,Com essas mina maluca.,comportamentos
92890,Lula foi preso.,papel_social
93026,"Mais uma vez, ela tá solteira.",identidade
93064,Tem que ser uma mulher bonita.,aparencia
93071,"Ela é mulher, não depende da gente.",identidade
93126,"Eu sou todo largado, ela é toda discreta.",identidade
93127,"Eu falo tudo errado, ela é toda correta.",identidade
93147,"Sou todo largado, ela é toda discreta.",identidade
93301,Porque ela é bem gostosa.,aparencia
93472,Depois de uma mina gata que tava assistindo o show.,aparencia
93563,"As minas eram gêmeas, mano, pra nossa surpresa.",identidade
93720,Mas ele é bem fraco.,comportamentos
93773,"Ela quica,ela para.",comportamentos
93791,"Ela quica,ela trava,para.",habilidades
93951,Mulher gostosa.,aparencia
94030,"Vive intensamente, mina caliente
.",
94190,E no mato ela foi encontrada.,outros
94194,Um sentimento por ela igual nois tem pela nossa favela.,
94237,Um homem direito.,identidade
95147,Hoje elas não quer social.,comportamentos
95322,"Ô, menina louca.",comportamentos
95364,"Ela é esnobe, mas corre atrás.",comportamentos
95366,"Faz cara feia, me doma, menina mandona.",habilidades
95919,A sua brincadeira é ser uma mina séria.,comportamentos
96171,Ela é pura perfeição.,valores
96435,"Desce, cachoalha, ela é preparada.",habilidades
96695,"Ela dança um funk, ela quica demais.",identidade
96697,"Ela dança um funk, ela quica demais
.",habilidades
96910,Jesus está comigo pra sempre me levantar.,identidade
97346,Que ela é toda marruda .,comportamentos
97350,Que ela é toda marruda.,identidade
97553,"Ela é mimada, gata e louca
.",identidade
97569,"Entrou clima, louca menina, menina má.",identidade
98296,Pois se ele está comigo podes crer não é à toa.,identidade
98374,Sua mãe fica puta com os meus gritos no seu portão.,identidade
98513,"Se tem outra mina, ela fica bolada.",comportamentos
98633,"Na faixa de gaza, só homem bomba,.",identidade
98642,"Mulher ouro e poder,.",aparencia
98857,As mulheres lindas que tem no.,aparencia
98874,Um homem consciente age sempre na moral.,identidade
99063,"Olha, a mina louca tá dançando.",identidade
99117,"Elas tão doida, tão louca,.",comportamentos
99268,"Mundo mágico, menino mulherengo..",
100008,"Mais pra dançar com essa menina se liga o bagulho é doido ela senta ela senta ela kika ela kika rebolando bem gostoso
.",habilidades
100137,E eu sou menino novo.,identidade
100287,Dennis tá fácil.,outros
101650,Porque ela é impossível.,identidade
101654,Ela é impossível.,identidade
101863,Ela fico descontrolada.,comportamentos
102059,Lembro legal que nois era pivete.,identidade
102266,Ela é uma gracinha.,
102277,Elas estão descontroladas.,comportamentos
102293,vai...elas estão descontroladas.,comportamentos
102294,"vai...vai...elas estão descontroladas


.",comportamentos
102314,"vai...vai...elas estão descontroladas
.",comportamentos
102473,Mais enjoado que mulher grávida.,comportamentos
102558,O desejo dessa mina é sua humilhação.,comportamentos
102649,"Não é atoa que eles fala: as mina é foda
.",aparencia
102667,Não é atoa que eles fala as mina é foda.,papel_social
102779,"Minha mente, ela é ambiciosa, sou vitorioso, você pode crer.",identidade
102864,"É que eles são bandido ruim, e ninguém trabalha.",identidade
103019,"nois é quebrada, nois é zul, norte e oeste,.",identidade
