frase_id,frase,majority_annotation
17603,"Só se liga nessa, Que mina cabulosa olha só que conversa.",sim
17646,"Ele é safado, Fugiu do.",sim
17690,"Ela está suada, pronta pra se derreter!",sim
17691,"Ela é puro êxtase, êxtase.",sim
17701,"Vontade de dançar até o amanhecer, Ela está suada, pronta pra se derreter!.",sim
17709,"Ninguém explica, ela é bonita.",sim
17779,Deus que ele é justo.,sim
17868,"Ela tem força, ela tem sensibilidade, ela é guerreira.",sim
17869,"Ela é uma deusa, ela é mulher de verdade.",sim
19223,"Fiquei sem chão [Refrão 2x] Menino bonito, menino bonito, ai ai menino bonito, menino bonito ai.",sim
19229,"ô [Refrão 4x] Menino bonito, menino bonito, ai ai menino bonito, menino bonito ai.",sim
20137,Ela é política aplicada e conversas banais.,sim
20138,Se ela tiver muito afim seja perspicaz.,sim
20739,E ela é tão linda.,sim
21106,"Rasga minha roupa, ela é bipolar.",sim
21712,Eles fica puto que nóis tá lucrando muito.,sim
22006,Que uma mulher foda virou sua ex.,sim
22120,"E, ó que ela foi covarde.",sim
22994,Que ele é o cara errado.,sim
23266,"Mina linda, mas que obra-prima.",sim
23334,Gomes) É ele mesmo.,sim
23610,Hoje eu vou ser seu duble de marido yeah.,sim
23666,Kadu hoje não tá mais pobre.,sim
23846,Que elas tão cheia de malicia.,sim
24215,"Só porque ele é grande ele pensa que é dois (Quem, quem?) Meu pau.",sim
24216,"Só porque ele é grande ele pensa que é dois (Quem, Digu?) Meu pau.",sim
24512,"Ela é uma flor, mas ama fumar planta (Hahaha) Transa que transa com a amiga piranha.",sim
24518,Tudo conforme os plano (Sempre) Minha filha rica e eu sou.,sim
24899,"É tipo isca pras piranha, elas fica apaixonada.",sim
25004,Ela é muito gostosa com essa cara de atriz.,sim
25115,Pra comer essas mina linda que cobra 10k.,sim
25159,"Que eu gosto quando quica, quica, quica (ele mesmo) (DJ João.",sim
25354,"Dindin não é problema, nas puta taca.",sim
25474,"Quarenta graus, nós pesado, ela é mídia.",sim
25626,"MD, o migo vira vida, a bebida [MC Daniel] Uma mina gostosa incomoda muita gente.",sim
26308,"Ele era pagodeiro, maloqueiro.",sim
27417,"Quando chega no baile, ela é atração.",sim
27420,Ela é terrível!,sim
27422,"Ela é top, capa de revista.",sim
27435,"OnlyFans) Ela é malandra, é safadinha.",sim
27442,"Ela é malandra, é safadinha.",sim
29099,"Tem mulher solteira, vai, vai.",sim
29638,Ela rebola gostoso.,sim
29653,"Ela tá solteira na pista, voltou pro paredão.",sim
29656,Mas ela prefere ficar sozinha.,sim
30660,"Que mina cavala, vou precisar de uma sela.",sim
30893,Deus que ele é justo!,sim
31017,Bruxo só tem menino selvagem.,sim
31814,"Ela tá solteira, mas não tá carente.",sim
31884,"Não nasceu pra ser mulher solteira nasceu pra mim, pra viver coladim.",sim
32205,Que os maloqueiro tá deixando eles forte.,sim
32675,"Mina doidona taca fogo, passa a goma, compra tudo.",sim
32825,Matheus tá patrão e um salve pro.,sim
32828,Porque aqui só tem menino bom.,sim
32862,"Oh, você joga sujo, mina viciante, o meu ponto fraco.",sim
33074,"Ai, ah, ela faz suruba, mas ela não é puta.",sim
33075,"Ela é solteira, yah-yah-yah.",sim
33077,"Ahn, ahn, ela faz suruba, mas ela não é puta.",sim
33141,"Aí, que ela é putinha da web, faz um cash vendendo conteúdo.",sim
33260,"E ela vem tão glamorosa, vestida de rosa.",sim
33281,Várias opção e hoje ela foi a escolhida.,sim
33399,Mais uma vez te vejo tirando a roupa e pessoalmente ela é melhor que na foto.,sim
33771,"Com dezenove tô bagunçando, eles tonto.",sim
33853,Eu sei que tu e ela é rica.,sim
34684,"Toda cabulosa, indecente o tanto que ela é gostosa.",sim
34983,A As mina aqui são braba.,sim
35893,Preto favelado e a menina patricinha.,sim
36122,"Licor 43 espanca, ela fica louca, safadinha.",sim
36171,"Vê só pela passada ela sabe, o menino é caro.",sim
36188,"Eu vi lá, eles não querem ver preto vencedor.",sim
36313,"Ostentação, deixa ela louca, palmeia.",sim
36699,Pra deixa a princesa bruxa.,sim
36807,"Ela é novinha, mas não inocente.",sim
37206,"Caralho, os paparazzi tirando foto, eles é foda, mano.",sim
37408,Ela era linda e tava carente.,sim
37418,É que eu sou homem só vivo errando.,sim
37526,E o som já tá no alto (o som já tá no alto) Vizinho já tá puto.,sim
37565,"Ela tem muito bom gosto (Okay) Mas eu quero ver mais de perto (Ahn) Baile sem você bebê, p'ra mim parece um deserto.",sim
37758,"Quando você vier, por favor, não coma pouco (yeah) Noites que ela fica louca (uh) Nem sempre tá crazy (uh) (Ela age) como se fosse poucas (poucas, ó) Mas isso só às vezes (só às vezes) Uma dose atrás da outra (ou) Chapa e nem percebe (cê) Só se acaba em motel (mo) Antes que acabe, é check (check) (Uh) minha neblina é aonde acontece (yeah) (Uh) (ahn) igual minha carteira, minha blunt tá verde (yeah) (Uh) (huh) só ando engordando, tô comendo cash (yeah) (Uh) não preciso das que se envolvem com pac (ayy) Goles e goles e goles e goles, yeah.",sim
38087,"Olhando o céu, ela é cruel.",sim
38390,Ela era diferente.,sim
38446,"Ela é fútil, mas eu gosto.",sim
38619,"Clyde da quebrada (aham) Capa de revista, a minha mandraka (aham) Se eu tô no toque, ela é mochila.",sim
38688,Ele é falso e mentiroso vou chamar de.,sim
38715,Ele é falso e mentiroso vou chamar de loki.,sim
38763,Ela é viciada em cores.,sim
38902,"Ela é insaciável, vem pra cima e já me morde.",sim
39204,"Deus) Ele era trap, agora é pop.",sim
39214,"Ele travou meus royalties, ele é falido.",sim
39215,"Precisa de grana, ele só anda liso (hahaha) Caos, fala mais baixo que eu sou patrão, neguin.",sim
39274,Ela gosta quando eu mando foto do corte (na régua) Debochada e gosta de aventura (ela é debochada) Disse que meu traje combina com suporte.,sim
39475,"Conta as hora e a vantagem (ahn, ahn) Ela já é uma peça, eu nem vou gastar na montagem (ah) Se eu fosse uma luz, taria na mais alta voltagem.",sim
39554,"Menina maluca, instinto piranha.",sim
39827,Ela é ignorante por cima do pau.,sim
39888,Duda porque ela faz completo.,sim
40344,"Álcool vai subir pro sangue (vem pra base fuder) Ela é tão bonita, pena que quer todos da minha gangue.",sim
40345,"Ela é tão bonita, pena que quer todos da minha gangue.",sim
40575,"[MC Lipi] Tipo ilusão de ótica, quando avistei essa mina gostosa.",sim
40576,"Eita mina perigosa, oloco, será que ela me namora?",sim
40585,"Eu me encantei, minha futura mulher [MC Piedro] Ela é empoderada, parece que a pele dela brilha como a.",sim
40595,"Ela é muito linda, linda, linda.",sim
40687,Ela é linda e até cego.,sim
40704,"Porque ela é braba, cada sentada dela é uma pancada.",sim
40710,Porque ela é braba [Theus.,sim
40712,"Não notar ela é impossível, seu feitiço é irresistível.",sim
41472,"Fuma do kunk, ela se garante, ela ignorante por cima do pau.",sim
41480,Ela ignorante por cima do pau.,sim
41727,Que mina cavala eu vou precisar de uma cela.,sim
42449,Sem saber do que ela é capaz.,sim
42452,Ela é diferente de tudo e de todas que já conheci no mundão.,sim
42453,Ela é linda de vestido colado cabelo alisado sabe bem o que quer.,sim
42456,Ela é linda com o jeito seduzente.,sim
44661,Elas não são brincadeira.,sim
46169,"Ela é debochada, ela tá que tá.",sim
46498,Ela me ama tanto que ela fica louca.,sim
47142,A minha mãe com ele é um grude.,sim
47381,Natural ele já é bonito.,sim
47698,Ryan tá casado.,sim
47863,É que essa mina é louca.,sim
47885,"Ô, o mundo tem mulheres lindas.",sim
48523,"Como menino inocente, ela levou meu coração.",sim
48609,"Bull, elas fica louca.",sim
48658,Ela é mais forte que todas que eu conheci.,sim
48780,"Ele era pagodeiro, malokeiro.",sim
48938,"Mulher bonita mexe com meu coração mas também não me iludo, não.",sim
49108,Kevin tá solteiro.,sim
49129,"Ela é minha mandraka, né.",sim
49295,As mina louca.,sim
49409,Ela é selvagem e faz malabares.,sim
49414,Até mulher tá apaixonada.,sim
49418,"Até mulher tá apaixonada [MC Rodolfinho] Então vai, cai, rebola pro pai.",sim
49434,Acho que eu casei com a mulher gato.,sim
49449,"Ela é rica, não liga também vai pro seu lado.",sim
49558,É que as minas são amigas.,sim
50045,"Só menino bom, atracou de torpedão.",sim
50120,"Cai no golpe quem quer, essa mina é treinada.",sim
50183,Que garota bela como ela é donzela.,sim
50187,Gosto do jeito dela de ser menina mulher.,sim
50644,"Não, já pra confirmar que ele é o rei, pode apitar.",sim
50688,"Pedro é hit, só paga pra ver, tem gostosa na festa.",sim
50703,Ela é bagunceira e tá com a amiguinha.,sim
51067,Ela é gostosa do bundão e gosta dos bigode.,sim
51123,Então deixa vim que ela tá quente pra não perder o time.,sim
51304,"Lá ela é safada, aqui é presença.",sim
51397,"Fartura, loucura, hoje ela quer dar pros maloqueiro.",sim
51581,"Esquema tático, é, menino raro, eu sou.",sim
51623,GBR Essa menina é muito sexy.,sim
51913,"Igual arroz, ela fica soltinha.",sim
53015,Pois sem saber ela é minha alegria.,sim
53144,"Essa menina mulher, da pele preta.",sim
53176,Meia-noite ela jura eterno amor.,sim
53602,"Senão, não se faz um samba não (Senão é como amar uma mulher só linda.",sim
53637,E se hoje ele é branco na poesia.,sim
53639,"Ele é negro demais no coração (Eu, por exemplo, o capitão do mato.",sim
53749,Eu lembro da moça bonita.,sim
53767,Era a moça mais linda de toda a cidade.,sim
53820,Pense nas meninas cegas inexatas.,sim
54163,Eles são discretos.,sim
55064,"Um preto, um pobre, um estudante, uma mulher sozinha.",sim
55071,"Um rapaz delicado e alegre que canta e requebra, é demais.",sim
55488,É mãe solteira.,sim
55682,Essa menina mulher.,sim
55859,"E malandro é malandro, mané é mané (Podes crer que é) Malandro é malandro e mané é mané.",sim
55869,Diz pra mim (Podes crer que é) Malandro é malandro e mané é mané.,sim
55906,Olha aí (Podes crer que é) Malandro é malandro.,sim
57655,Quando eu falava desses homens sórdidos.,sim
58044,Ela é bela e fera.,sim
58351,Toda menina baiana.,sim
59122,Minha esposa ali tão bela.,sim
59266,"Tô de namoro com uma moça solteirona, a bonitona quer ser a minha patroa, os meus parentes já estão me criticando estão falando que ela é muito coroa, ela é madura já tem mais de trinta anos mas para mim o que importa é a pessoa, não interessa se ela é coroa panela velha é que faz comida boa.",sim
59267,"Menina nova é muito bom mas mete medo não tem segredo e vive falando a toa eu só confio em mulher com mais de trinta, sendo distinta a gente erra ela perdoa, para o capricho pode ser de qualquer raça, ser africana, italiana ou alemoa, não interessa se ela é coroa panela velha é que faz comida boa.",sim
59268,"A nossa vida começa aos quarenta anos, nascem os planos do futuro da pessoa, quem casa cedo logo fica separado, porque a vida de casado as vezes enjoa, dona de casa tem que ser mulher madura, porque ao contrário o problema se amontoa, não interessa se ela é coroa panela velha é que faz comida boa.",sim
59269,"Vou me casar para ganhar o seu carinho, viver sozinho a gente desacossoa e o gaúcho sem mulher não vale nada e que nem peixe viver fora da lagoa, to resolvido vou contrariar meus parentes aquela gente que vive falando a toa, não interessa se ela é coroa panela velha é que faz comida boa.",sim
59444,O Chico foi baleado.,sim
59593,"Tô de namoro com uma moça solteirona, a bonitona quer ser minha patroa, os meus parentes já estão me criticando estão falando que ela é muito coroa, ela é madura já tem mais de trinta anos mais para mim o que importa é a pessoa, não interessa se ela é coroa panela velha é que faz comida boa.",sim
59594,"Menina nova é muito bom mais mete medo não tem segredo e vive falando a toa eu só confio em mulher com mais de trinta sendo distinta a gente erra ela perdoa, vale o capricho pode ser de qualquer raça, ser africana, italiana ou alemoa, não interessa se ela é coroa panela velha é que faz comida boa.",sim
59595,"A nossa vida começa aos quarenta anos, nasce os planos do futuro da pessoa, quem casa cedo logo fica separado, porque a vida de casado as vezes enjoa, dona de casa tem que ser mulher madura, porque ao contrário o problema se amontoa, não interessa se ela é coroa panela velha é que faz comida boa.",sim
59699,"Arrume tudo mãe querida, que seu filho vai voltar.",sim
60537,Ela era muito caliente.,sim
60553,Avisa pro meu pai que ele não é mais caseiro.,sim
60554,A partir de hoje ele é fazendeiro.,sim
60664,Ela é linda de chapéu e bota.,sim
61269,É na 4x4 que elas ficam loucas.,sim
62471,Deixei ela plantada linda e maquiada.,sim
62473,E ainda saí falando que ela tava errada.,sim
62665,"Ela é louca, muito louca!",sim
62668,"Lalaiá, ela é louca demais.",sim
62684,Ela é louca chorus.,sim
62689,Ela é louca hook.,sim
62691,"Lalaiá, ela é louca demais (ela é louca) Laiá, lalaiá.",sim
62697,"E o beijo é caixa e o sexo encaixa, ela é massa fi' verse.",sim
62718,"Lalaiá, ela é louca.",sim
62994,Menina bonita.,sim
63239,"Deusa linda do amor, toma conta de mim.",sim
63316,Ela é maravilhosa.,sim
63831,"Que moço igual não há pela cidade, Mande um recado à minha amada, lua vai...",sim
64291,Menina sou louco por ti.,sim
65061,Ela já foi esquecida.,sim
66163,Cristo era bandido.,sim
66172,Lúcia era uma menina linda.,sim
66248,Cristo era só ódio por dentro.,sim
66259,Aquela menina boçal pra quem jurei o meu amor.,sim
66331,Ela também estava perdida.,sim
67672,Da mulher aranha.,sim
68557,Ela é toda safadinha.,sim
68798,"Na minha cabeça, ela só queria forrozar.",sim
69125,Que eu faço a mulher mais feliz desse mundão.,sim
69531,Eu te acho a mina mais linda.,sim
69690,Mas só que a mina é muito linda.,sim
69747,Ela é mó gata.,sim
69783,"Ela é experiente, permanece em presença leve.",sim
69787,"Ela é experiente, sentando me deixa mais leve.",sim
69833,"Antes da realidade, ela é minha flor de mate.",sim
69916,"Hoje eu tô ligado que se existe o paraíso, elas são a passagem.",sim
70235,Mulher bonita mexe com meu coração.,sim
70253,Em quatro paredes a mina meiga virou a.,sim
70961,Ela é estilosa.,sim
71009,Ela é estilosa (ela é estilosa).,sim
71177,Ele é justo e cabuloso.,sim
71473,"E dessa vez ela não tava errada

.",sim
71819,Tá lotado de mina gostosa.,sim
71921,Ela é covardia demais.,sim
72086,"Um tapa na cara, minha mãe tá certa.",sim
72377,"É ligação, sua mãe fica puta.",sim
72505,E você mulher guerreira.,sim
73160,"Não importa se ele é fraco, sofredor.",sim
73765,"Agora já era, ela já tá desapegada.",sim
73791,Linda mina bela que muda a atmosfera.,sim
74542,Ela é mimada gata e louca.,sim
74567,Menina má.,sim
75111,Era um menino desobediente.,sim
75113,"Menino maduro, coração carente
.",sim
75820,"E ela é namoradeira, mandona da.",sim
76324,E hoje ela tá diferente.,sim
76512,"No filme de terror, ela é a mocinha, eu sou vilão.",sim
76517,"Ela é uma mistura de razão com ficção
.",sim
77897,Essa moça é linda.,sim
77946,"Catucando essa mina maluca
.",sim
78844,Ele está sedento de paixão.,sim
79568,Catucando essa mina maluca.,sim
79628,"Olhar feroz ela chega maldosa, nas ideia ela é libidinosa.",sim
79651,"Menina má é professora, ensina errada.",sim
79652,Má intencionada mas mesmo assim ela é boa.,sim
79951,É tchau para eles fui abençoado.,sim
79987,"Eu confesso um pouquinho de medo, que essa mina é louca

.",sim
80141,"Ela é formada, dá aula, ensina.",sim
80162,"Eu tô sedento, ela é sedenta.",sim
80203,Tem essa pegada de mulher independente.,sim
80355,"Ela é linda demais, é.",sim
80367,Ela é uma deusa grega.,sim
80371,Mas ela é bem gigante.,sim
80579,"Ela é malandra, sacana, safada.",sim
80603,Ela tá brisada.,sim
80606,"Na cama, ela senta, ela é violenta, é isso que resume.",sim
80622,"Estourei, ela é gostosa.",sim
81069,"O menina carente, eu quero te ver sorrindo

.",sim
81099,"O menina carente, eu quero te ver sorrindo
.",sim
81575,Você pensa que ela é calma.,sim
81598,"É cheia de esquema, ela é complicada.",sim
82086,"E se ela é baladeira, nós vamo adiante.",sim
82215,Se ele fica cheio de marra.,sim
82657,"Os menino é ruim, é poucas palavras.",sim
82672,Os menino é ruim.,sim
82732,"Tem mulher pra caralho e os menino é sheik
.",sim
83347,"Ele é pretinho, magrinho, anda cheiroso, e tem 19.",sim
83771,Mas quem pensou que ela tava depressiva em casa.,sim
83940,De uma menina inocente e um homem de verdade.,sim
83970,E no dia do casamento ela tava linda.,sim
83974,E no final da gravidez ela tava tão bela.,sim
84011,"Eita, menina braba.",sim
84072,"Que ela é linda, é mais do que.",sim
84229,"Todo menino é rei mas toda menina que manda
.",sim
84589,A menina inocente.,sim
84636,"Lembro como fosse agora, um menino pequeno.",sim
84960,O novinho ficou maluco.,sim
84990,Vários homem bomba.,sim
85011,"Que essa mina é preparada
.",sim
85096,Ela não quer mais namorico.,sim
85172,Não importa se ela é puta.,sim
85175,"Ela é puta, mas também tem sentimento.",sim
85176,"Ela é puta, mas também tem sentimento

.",sim
85187,Ela é puta mas tem sentimento.,sim
85293,"Ela veio quente, e hoje eu tô fervendo.",sim
85294,"Que ela veio quente, hoje eu tô fervendo.",sim
85317,"Ela veio quente, hoje eu tô fervendo.",sim
85569,É só menino bom que tem problema na cabeça.,sim
86007,"Minha filha tava grávida de um filho teu, de um filho teu!
.",sim
86289,"Ela é minha aurora boreal, parte do meu ideal.",sim
86337,Você foi fraco ela é piranha.,sim
86594,Então pensa na mulher gostosa.,sim
87037,Essa mina é assanhada.,sim
87385,"Desde menor, minha mãe me diz: Hariel é terrível!.",sim
87476,"Ela é da minha rua, ela é estilosa.",sim
87555,"Garota linda, você é a minha paixão.",sim
87756,"Neymar é gol!

.",sim
87785,"Neymar é gol!
.",sim
88046,Ela é mina de família.,sim
88375,"Porsche, com uma mina top.",sim
88671,Arlequina é estilosa.,sim
88839,KR3 que vai mandar pras mina maluca.,sim
89407,"Ele era funkeiro, mas era pai de família
.",sim
89425,"Outros o criticavam porque ele era funkeiro
.",sim
89444,"Os seus olhos brilhavam, ele estava animado
.",sim
89470,"Ele era funkeiro, mas era pai de família.",sim
89599,"Mas chegando no baile funk, ela é a sensação.",sim
90010,Sou mulher independente não aceito opressão.,sim
90013,"Sou mulher destemida, minha marra vem do gueto.",sim
90533,"Ele é quentinho com refri não tem mistério
.",sim
90612,Ela é uma mescla de sagacidade.,sim
91299,"Deus que ele é justo, mas o mundo não.",sim
91346,"Meu, ele é foda, eu sou fã desse cara
.",sim
91398,"Djonga é foda, eu sou fã desse cara
.",sim
91491,Quem olha pensa que ela é princesinha.,sim
91548,Ela é boa na pista.,sim
91686,A mina mais linda do bairro.,sim
91696,(Mina maluca).,sim
91776,"Ela é perita no blefe, danada, me olhando nos olhos nem pisca.",sim
91789,"Ela é braba no que faz, exala sagacidade.",sim
92241,"Olha só, eles são iguais!.",sim
92684,Com essas mina maluca.,sim
93026,"Mais uma vez, ela tá solteira.",sim
93064,Tem que ser uma mulher bonita.,sim
93126,"Eu sou todo largado, ela é toda discreta.",sim
93127,"Eu falo tudo errado, ela é toda correta.",sim
93147,"Sou todo largado, ela é toda discreta.",sim
93301,Porque ela é bem gostosa.,sim
93472,Depois de uma mina gata que tava assistindo o show.,sim
93563,"As minas eram gêmeas, mano, pra nossa surpresa.",sim
93720,Mas ele é bem fraco.,sim
93773,"Ela quica,ela para.",sim
93791,"Ela quica,ela trava,para.",sim
93951,Mulher gostosa.,sim
94030,"Vive intensamente, mina caliente
.",sim
94237,Um homem direito.,sim
95147,Hoje elas não quer social.,sim
95322,"Ô, menina louca.",sim
95364,"Ela é esnobe, mas corre atrás.",sim
95366,"Faz cara feia, me doma, menina mandona.",sim
95919,A sua brincadeira é ser uma mina séria.,sim
96171,Ela é pura perfeição.,sim
96435,"Desce, cachoalha, ela é preparada.",sim
96695,"Ela dança um funk, ela quica demais.",sim
96697,"Ela dança um funk, ela quica demais
.",sim
97346,Que ela é toda marruda .,sim
97350,Que ela é toda marruda.,sim
97553,"Ela é mimada, gata e louca
.",sim
97569,"Entrou clima, louca menina, menina má.",sim
98374,Sua mãe fica puta com os meus gritos no seu portão.,sim
98513,"Se tem outra mina, ela fica bolada.",sim
98633,"Na faixa de gaza, só homem bomba,.",sim
98642,"Mulher ouro e poder,.",sim
98857,As mulheres lindas que tem no.,sim
98874,Um homem consciente age sempre na moral.,sim
99063,"Olha, a mina louca tá dançando.",sim
99117,"Elas tão doida, tão louca,.",sim
99268,"Mundo mágico, menino mulherengo..",sim
100008,"Mais pra dançar com essa menina se liga o bagulho é doido ela senta ela senta ela kika ela kika rebolando bem gostoso
.",sim
100137,E eu sou menino novo.,sim
100287,Dennis tá fácil.,sim
101650,Porque ela é impossível.,sim
101654,Ela é impossível.,sim
101863,Ela fico descontrolada.,sim
102059,Lembro legal que nois era pivete.,sim
102266,Ela é uma gracinha.,sim
102277,Elas estão descontroladas.,sim
102293,vai...elas estão descontroladas.,sim
102294,"vai...vai...elas estão descontroladas


.",sim
102314,"vai...vai...elas estão descontroladas
.",sim
102473,Mais enjoado que mulher grávida.,sim
102558,O desejo dessa mina é sua humilhação.,sim
102649,"Não é atoa que eles fala: as mina é foda
.",sim
102667,Não é atoa que eles fala as mina é foda.,sim
102779,"Minha mente, ela é ambiciosa, sou vitorioso, você pode crer.",sim
102864,"É que eles são bandido ruim, e ninguém trabalha.",sim
103019,"nois é quebrada, nois é zul, norte e oeste,.",sim
103160,"Se eu já fui escuridão, hoje ela é a luz da minha vida.",sim
103615,Minha mansão sempre estará lotada de mulheres belas.,sim
103708,"Barro ou mulher bonita,  tá tranquilo, vamo que vamo.",sim
103729,Quer deixar ele feliz?,sim
103882,De lingerie elas vem louca pra me seduzir.,sim
104227,"Ai que mulher gostosa, toma no cu.",sim
104342,"Enquanto ele era álcool, puta e cocaína.",sim
104768,"Bota o dedo pro alto, deixa os homens loucos.",sim
104933,Que eu vou comer aquela mina gostosa.,sim
104985,Morrer como homem é o prêmio da guerra.,sim
105238,Ele era funkeiro.,sim
105286,Ele estava animado.,sim
105365,"Essa mina é uma loucura, sabe por quê?
.",sim
105386,"Essa mina é uma loucura, uma loucura.",sim
105636,"Ela anda sexy, toda guapetona.",sim
105637,Ela não é amante.,sim
105639,Ela é fiel.,sim
106149,"Pois ele é chpa quente, e fecha com a familia.
.",sim
106185,Essa mina é uma riqueza.,sim
106228,"Essa mina é uma riqueza
.",sim
106268,Garota envolvente do sorriso atraente.,sim
106273,"Ela é funkeira, baladeira e não quer compromisso.",sim
106394,Alô galera..parei de zoar..agora sou um rapaz sério muito sério.,sim
107000,Gente inteligente e mulheres belas.,sim
107605,"Garota impossível, do sorriso incrível.",sim
107690,Hoje ela é a luz da minha vida.,sim
108152,"Ele é muito maneiro, qualquer um pode mandar.",sim
108207,"Já quer embrasar, ela fica maluca.",sim
108235,Olha que mina gostosa.,sim
108236,Que mulher maravilhosa.,sim
109066,Essa é as mina zica da balada.,sim
109579,Só tem mulher solteira.,sim
109823,"Que minha meta na favela é só pegar mina perversa!
.",sim
109838,"Que minha meta na favela é só pegar mina perversa
.",sim
109887,Solo és mãe gentil.,sim
111023,E pode acredita dj rennan é midia.,sim
111201,"Boto tudo pra fudê,Senta firme (2x), ela ta louca ta xapada.",sim
111246,A Mãe pensa que ela é santa.,sim
111247,"O pai pensa que ela é moça, a.",sim
111248,Vó pensa que ela é virgem.,sim
111280,"Essa mina é louca, louca.",sim
111310,"Corpo pega fogo, essa mina é louca.",sim
111315,"Essa mina é louca, toda noite quer meter.",sim
111515,Quando chega no baile ela é atração.,sim
111518,"Rá ela é terrível!
.",sim
111560,"Ai que homem gostoso, vem que vem quero de novo.",sim
111587,"Ai que homem gostoso, vem que vem quero de novo
.",sim
111606,"Ela é boa na moto, ela é boa na cama.",sim
111610,"Ela é inteligente, ela é chapa quente, ela estoura os cofres.
.",sim
111613,"O quê que um homem procura, é uma mina segura.",sim
112300,"Hoje ele é profissional, jogador do seu time.",sim
112916,Ela é obra do divino.,sim
112929,Essa menina é sagaz.,sim
112948,"Menina imperfeita, que acaba sendo perfeita.",sim
113063,"Agora só um rapaz sério, muito sério.",sim
113082,"Essa mina é maneira, que brisa.",sim
113084,"Ela fica quente, sensualiza daora.",sim
113097,Ela é racional e curte um.,sim
113100,Anitta só que ela é mais gostosa.,sim
113114,"Mano, a mina tá mandada.",sim
113144,E ela tava esquecida igual.,sim
114138,De um menino inocente e um homem de verdade.,sim
114353,"Eu sou pretinho, ela é loirinha, do olho azul.",sim
114638,Mulher gostosa não é.,sim
114687,Menina carinhosa brincando com sua.,sim
115086,Quero ver as mina louca.,sim
115549,"Jesus foi pregado na cruz porque ele confiou,
.",sim
115811,"Menina não é mulher e mulher não é menina
.",sim
115842,"Essas mulheres lindas, eu catucando seu pulmão.",sim
115888,Via que ele cabisbaixo.,sim
116261,Nós que deixou ele rico.,sim
116483,Quem vê desacredita do que ela é capaz.,sim
116484,Ela é cheia de malícia e de quem peça pra parar.,sim
116488,Ela é a abusada.,sim
116494,Ela é abusada.,sim
116514,"Ela é abusada
.",sim
116547,Ela não é santa.,sim
116626,"Que ela brisa, ela era gostosa.",sim
117032,E o regime até ele mesmo teme.,sim
117254,A mina troca mó idéia.,sim
117266,É que as menina é tenebrosa.,sim
117381,Ela é a sensação.,sim
117430,"Whisky e energético, quanta mulher boa, hahaha.",sim
117434,Ela é chata demais.,sim
